date,heading,main_content,location,url,
3/15/2024,Why is Indiaís Modi pushing for simultaneous elections? Who would gain?,"India has moved a step towards holding simultaneous elections for parliament, state legislatures and local bodies that could end the countryís relentless cycle of voting ñ about six states go to polls each year.

A nine-member high-level panel headed by former President Ram Nath Kovind on Thursday recommended amendments to the constitution to hold national and regional polls together.The move, supporters, say will save time and money while allowing political parties and governments to focus on policy and administration. However, critics say it would go against the federal structure and spirit of the Indian constitution, cloud local issues that get attention when state elections are held separately, and potentially turn all votes subsumed in the giant election exercise into a prime ministerial contest.

The panelís recommendation wonít have any bearing on the national elections which will kick off in a few days ó but the coming vote could set the stage for the planís execution five years from now.

Hereís what the controversy is about:

The idea to bring the practice back to India is not new. The Law Commission, which provides advice to the government, had recommended simultaneous polls in 1999 ó a quarter of a century ago.

Since he came to power in 2014, Prime Minister Narendra Modi has been pitching the idea in public forums.

What are the key recommendations?
The panel in its 18,626-page report has outlined a phased approach to synchronise elections ó beginning first with elections for the lower house of parliament or Lok Sabha and state assemblies, followed by elections to local bodies within 100 days of general polls.

The president of India will notify a date for the first sitting of the Lok Sabha after a general election. This date will mark the new electoral cycle.The tenure of all state assemblies formed after that date will be curtailed to coincide with the subsequent general elections.

In the event of a hung house and a no-confidence motion, new elections will be held to constitute the new lower house of parliament or state assembly ó but only for the remainder of the five-year term.

What would be needed to hold joint polls?
The move to hold simultaneous elections for the Lok Sabha and assemblies can be done by amending the constitution, without having to get it endorsed by state legislatures.

But for synchronising votes for local bodies with general elections, amendments to the constitution will need the ratification of at least half of Indiaís 28 states.

The elections will also involve common electoral rolls and a single voter identity card for all polls.

Conducting simultaneous elections is possible, but the Election Commission of India will need three times as many electronic voting machines as it currently has, said SY Quraishi, former chief election commissioner.

It will also need many more than the 15 million polling staff and security personnel currently used for national elections, he said.

What are the arguments for and against this move?
Of the 47 political parties that gave their opinions to the panel, 32 supported the idea, while 15 opposed it.

The main opposition Congress party told the panel that implementing simultaneous elections would result in ìsubstantial changes to the basic structure of the constitutionî, go against ìthe guarantees of federalismî and ìsubvert parliamentary democracyî.The All India Trinamool Congress, which rules in the eastern state of West Bengal, said forcing state assemblies to hold premature elections just for the sake of simultaneous votes would be unconstitutional and would ultimately lead to suppression of state issues.

Modiís Bharatiya Janata Party (BJP) has supported the concept by arguing that about 800 days of governance are effectively lost over five years. Ahead of every election, the election commission announces what is known as the Model Code of Conduct: After that declaration, until the elections are over, relevant governments canít enforce any new policies that might affect voter choices.

Simultaneous elections will spur growth, cool inflation and avoid disruption of supply chains, while also optimising resources spent on polling and encouraging large-scale voter participation, the panel has said.

But Quraishi, Indiaís former election commissioner, argued that if many state assemblies are dissolved early just for them to hold new elections at the same time as the national vote, that would actually increase the total number of elections. And not just in the short run: If governments fall, and new elections are held for held for truncated tenures, that too would increase the total number of elections.

ìItís not a very brilliant idea,î Quraishi said.

Trilochan Sastry, founding member of the Association of Democratic Reforms, a group that advocates for greater political transparency and accountability, echoed Quraishiís worries. And if India wants to cut the rising cost of elections, it can do so by capping campaign spending by parties, Sastry said.

Simultaneous polls could also give an advantage to the party ruling at the national level, said Quraishi.

According to a study by the IDFC Institute, a think tank, there is a 77 percent chance an Indian voter would support the same party at the federal and state level if elections are held simultaneously.

Political accountability activists also argue that frequent elections might actually be good ó they put pressure on governments and parties to stay on their toes and remain sensitive to voter concerns.

ìWe are living with the current system of frequent elections,î said Sastry. ìNow if you suddenly change the system, we have to examine all implications and hold wider consultations.î

What is the price for holding polls together?
Elections in India are costly affairs ñ the worldís most expensive.

Election expenditure by political parties and candidates for simultaneous polls could be 10 trillion rupees ($121bn) for five years starting in 2024, said N Bhaskara Rao, chairman of the New Delhi-based Centre for Media Studies. Of these, 1.2 trillion rupees ($14.5bn) will be spent for this yearís general elections. Most of this spending is unaccounted for.

About 3 to 5 trillion rupees could be saved if simultaneous elections idea is adopted, said Rao.

The panel said simultaneous elections could help a 1.5 percentage point increase in GDP, which is equivalent to 4.5 trillion rupees ($54bn) in the financial year 2024, half of the public spending on health, and one-third of that on education.Still, some argue that costs alone canít be a determining factor for holding all polls together. The Congress party told the panel that the ìargument that cost of conducting elections are extremely high seems baselessî and described it as ìthe cost of free and fair elections to uphold democracyî.

Can it become a reality?
Very possibly, if Modiís BJP-led coalition comes to power with a clear majority after the April and May parliamentary elections. Ratification by states wonít be difficult as the BJP alone controls 12 of Indiaís 28 states and has allies ruling several others.

The BJP is in pole position for the 2024 general elections. Opinion polls suggest the BJP-led alliance will win with a clear majority.

",India,https://www.aljazeera.com/news/2024/3/15/why-is-indias-modi-pushing-for-simultaneous-elections-who-would-gain,
5/25/2024,India General Elections 2024 updates | Highlights on May 24,"Prime Minister Narendra Modi on May 24 accused the Congress of not fulfilling its promise of providing 1 lakh jobs to the youth of Himachal Pradesh and said the partyís ìtalabaaz sarkarî put a lock on the state staff selection commission.

Addressing a ëVijay Sankalpí rally in Sirmaur districtís Nahan to garner support for BJPís Shimla Lok Sabha seat candidate Suresh Kashyap, the Prime Minister also said that communalism, casteism and dynastic politics are common in the Congress and its allies.

The sixth phase of the general elections is slated for May 25. With its seven parliamentary seats, the national capital will also go for voting in Phase 6. Amid the prevailing fierce summer heat, the national capital is all set for polling on Saturday after a record two-month long campaigning, with the BJP and the INDIA bloc partners pitted in a direct, one-on-one contest in all the seven Lok Sabha constituencies.In the upcoming sixth and seventh phases on May 25 and June 1, there are 869 and 904 candidates, according to the EC data. Fifty-seven constituencies are going to polls in seven and eight States and UTs on May 25 and June 1, respectively.

Here are the latest updates on May 24:
MAY 24, 2024 19:33
Migratory leaders should be given right lesson: Abhishek Banerjee
Attacking the BJP leadership, Trinamool Congress national general secretary Abhishek Banerjee said that migratory leaders those who come to West Bengal from outside should be given a right answer by the electorate in defeating the saffron party in the last two phases of the ongoing Lok Sabha polls. 
Speaking at a public rally at Joynagar in South 24 Parganas in support of party candidate Pratima Mondal, Mr. Banerjee alleged that the outsiders who come to the state are not aware of the rich tradition and culture of West Bengal. 
ìThe migratory leaders who come to West Bengal to seek votes should be given the right lesson. They donít have the slightest idea of the tradition and culture of the stateî, Mr. Banerjee, also the nephew of Trinamool Congress supremo Mamata Banerjee, said. - PTI

MAY 24, 2024 19:25
HC permits sale of liquor in Mumbai after announcement of LS poll results on June 4
The Bombay High Court on Friday permitted the sale of liquor in Mumbai after the announcement of Lok Sabha poll results on June 4.
A vacation bench of Justices N R Borkar and Somasekhar Sundaresan said the ban imposed by the city Collector on sale of liquor by hotels, restaurants, bars and permit rooms shall cease to have an effect upon declaration of results of elections in the city of Mumbai.
Additional government pleader Jyoti Chavan informed the bench that the Collector for Mumbai district suburban has already issued a letter modifying the earlier notification declaring June 4 as a dry day.The Bombay High Court on Friday permitted the sale of liquor in Mumbai after the announcement of Lok Sabha poll results on June 4.
A vacation bench of Justices N R Borkar and Somasekhar Sundaresan said the ban imposed by the city Collector on sale of liquor by hotels, restaurants, bars and permit rooms shall cease to have an effect upon declaration of results of elections in the city of Mumbai.
Additional government pleader Jyoti Chavan informed the bench that the Collector for Mumbai district suburban has already issued a letter modifying the earlier notification declaring June 4 as a dry day. - PTI
",India,https://www.thehindu.com/elections/lok-sabha/india-general-elections-2024-live-updates-may-24/article68208348.ece,
11/3/2024,"At G20 Summit, PM Modi Calls For Efforts Towards A More Sustainable Future","Our efforts are based on traditional Indian thought, said PM Modi.
Rio de Janeiro:
Prime Minister Narendra Modi on Tuesday urged the G20 grouping to accelerate efforts to ensure a cleaner and more sustainable future for all.
In an address at a session on sustainable development and energy transition at the G20 summit, PM Modi said it is essential for developed countries to fulfil their commitments to provide technology and finance in a timely manner to the developing nations.
India is sharing its successful experiences with all friendly countries, particularly with Global South, he said.
On the challenge of climate change, the prime minister said India is the first G20 country to have fulfilled the commitments made under the Paris Agreement ahead of time.
Our efforts are based on traditional Indian thought which is both progressive and balanced, he said.
The summary of PM Modi's remarks were posted on 'X' by External Affairs Ministry spokesperson Randhir Jaiswal.
Add NDTV As A Trusted Source
PM @narendramodi participated in the 3rd Session of the #G20Brazil Summit on ‚ÄòSustainable Development and Energy Transition', in Rio today.

PM underlined the importance of accelerating efforts to ensure a cleaner, more sustainable future for all, including through mainstreaming‚Ä¶ pic.twitter.com/YNQ51Q8qsX
‚Äî Randhir Jaiswal (@MEAIndia) November 19, 2024
During the New Delhi G20 summit, we had adopted the Varanasi Action plan to accelerate achievements of the SDGs (sustainable development goals), PM Modi said.
Under Brazil's presidency priority has been accorded to implementation of these goals, and we welcome this, he noted.
The prime minister pitched for ensuring a more sustainable future for all, including through initiatives such as the International Solar Alliance, One World-One Sun-One Grid and the Global Bio-Fuel Alliance.
Modi said India launched Mission LiFE or Lifestyle for the Environment in order to promote a sustainable lifestyle at a global level.
We launched the International Solar Alliance and over 100 countries have joined it, he added.
The prime minister also highlighted India's ""green transition"" and said the initiative has been made a people's movement.
Over the last one decade, we have built homes for more than 40 million families, he said.
Over the last five years, clean water supply has been ensured for 120 million homes, PM Modi added.
(This story has not been edited by NDTV staff and is auto-generated from a syndicated feed.)
Track Latest News Live on NDTV.com and get news updates from India and around the world
Follow us:
Prime Minister Narendra Modi, G20, PM Modi In Brazil",Global,https://www.ndtv.com/world-news/at-g20-summit-prime-minister-narendra-modi-calls-for-efforts-towards-a-more-sustainable-future-7058474,
1/5/2024,Winter storm hammers eastern US; over 60 million face blizzard conditions,"A severe winter storm has hammered the United States, with meteorologists warning more than 60 million people in the countryís east faced blizzard conditions and some areas would see the heaviest snowfall in a decade.

The National Weather Service (NWS) on Sunday warned of ice, snow and gale-force winds in states from the central plains to the mid-Atlantic.

A state of emergency has been declared in Kentucky, Missouri and Virginia.

More than 60 million people are in the path of the dangerous storm, set to plunge the eastern half of the US into a deep freeze of Arctic air through Monday, resulting in severe travel disruptions.

Winter storm warnings have been issued from western Kansas to the coastal states of Maryland, Delaware and Virginia, an unusually broad 2,400km (1,500-mile) swath under immediate threat.

ìDisruptive winter storm to impact the Central Plains to the Mid-Atlantic through Monday with widespread heavy snow and damaging ice accumulations,î the NWS said in its latest report.

The agency warned that areas from northeastern Kansas to north-central Missouri would see ìthe heaviest snowfall in a decadeî.

Scientists say extreme weather is becoming more common and more severe as a result of man-made climate change.

Flights disrupted
The first major storm of 2025 was already wreaking havoc on travel, with Kansas City International Airport announcing closure of its flight operations Saturday ìdue to rapid ice accumulationî.

Flight operations resumed later after airfield runways and taxiways were treated, Kansas City mayor Quinton Lucas said in a social media post.Temperatures are expected to plunge, in some places to below zero degrees Fahrenheit (-18 Celsius) while the US capital Washington could be blanketed in five inches or more of snow.

Another major concern is freezing rain and sleet expected from Kansas eastward to Kentucky and Virginia, setting the stage for thick ice to coat roads, making travel hazardous, bringing down trees and electricity lines, and potentially leaving millions of customers without power during a cold snap.

Conditions could prove especially perilous in the Appalachians, where a deadly hurricane in late September devastated communities and ravaged multiple southeastern states including Kentucky.

Many of those communities are still recovering from the effects of that hurricane.

The new storm ìwill likely cause significant disruption and dangerous conditions on our roads and could cause significant power outages just 24 hours or so before itís going to get really cold in Kentuckyî, Governor Andy Beshear told an emergency meeting.
",United States,https://www.aljazeera.com/news/2025/1/5/winter-storm-hammers-eastern-us-over-60-million-face-blizzard-conditions,
 11/08/2024,COP29: Deadly weather events show cost of climate inaction,"Record-breaking floods in Spain, violent storms in Florida and wildfires in South America ñ these are just a few examples of the extreme weather events accelerating and intensifying across the world. With the cost of inaction clearer than ever, financing for clean alternatives to the fossil fuels which are driving climate change will be top of the agenda at this yearís UN climate conference, COP29.
The context in which COP29 begins in Baku, Azerbaijan on November 11 is critical but not hopeless.

A UN climate report released just days before the Conference confirmed that global average temperature rise is approaching 1.5∞C above pre-industrial levels, which would put the world on course for a catastrophic rise of 2.6-3.1∞C this century, unless there are immediate and major cuts to greenhouse gas emissions.

A failure to act will lead to increasingly frequent and dangerous extreme weather events.

The UN is calling for urgent collective action, led by the G20 group of developed economies and the biggest emitters, to deliver the greenhouse gas emissions cuts needed to limit global warming.

What is the UN Climate Change Conference?

The climate crisis transcends borders. Solving it requires unprecedented international cooperation, with the UN and its chief, the Secretary-General, at the centre of the multilateral effort.The annual UN Climate Change Conferences (otherwise known, in UN jargon, as COPs, or Conferences of the Parties to the UN Framework Convention on Climate Change), are the worldís primary multilateral decision-making forum on climate change, bringing together almost every country on Earth. 

They are unique opportunities for the world to come together to agree on how to address the climate crisis, limit the global temperature rise to 1.5 degrees Celsius, help vulnerable communities to adapt to the changing climate, and achieve net-zero emissions by 2050.

COPs are meant to be inclusive affairs and, as well as world leaders and government representatives, a diverse range of people from all aspects of society, from business leaders and climate scientists to Indigenous Peoples and youth, are involved, taking part in order to share insights and best practices to strengthen climate action that benefits all.

What is the focus of COP29?

A top priority for negotiators in Baku will be agreeing on a new climate finance goal, one that ensures every country has the means to take much stronger climate action, slash greenhouse gas emissions and build resilient communities. The aim is for the conference to help unlock the trillions of dollars that developing countries need in order to mitigate harmful carbon emissions, adapt to climate change and cope with the loss and damage it has caused.

Look out for a continuation of discussions held at the UN Summit of the Future earlier this year on reforming the international financial architecture. The UN Secretary-General, AntÛnio Guterres has described the current system as ìentirely unfit for purposeî and ill-equipped to cope with todayís challenges:  many poor countries are facing unsustainable levels of debt that leave them unable to invest in social protection and health care, let alone measures that would bring about the transition to a low carbon economy.

What will happen over the two weeks?

As ever, there will be a packed schedule of negotiations, speeches, press conferences, events and panel discussions at the conference site, divided into a Green Zone ñ which is overseen by the COP29 Presidency and open to the general public ñ and a Blue Zone managed by the UN.This is where the nitty-gritty of the negotiations will take place, as the representatives of the nations of the world try to thrash out a deal by the end of the event. An agreement is usually reached, but not without drama, with last minute disagreements pushing the talks beyond their official deadline.

Why are COPs important?

The importance of COPs lies in their convening power: the decisions made at each of them may not go as far as some may hope, in terms of addressing the climate crisis, but they are made by consensus, uniting the countries of the world in international agreements that set standards and advance action in critical areas.In 2015, at COP21 in Paris, a landmark climate agreement was reached in which countries agreed to reduce global warming to well below 2 degrees Celsius above pre-industrial levels and pursue efforts to limit it to 1.5 degrees. The Paris Agreement works on a five- year cycle of increasingly ambitious climate action by countries. The next updated national climate action plans - known as Nationally Determined Contributions, or NDCs - are due in 2025. This process has led to incremental but important improvements, in terms of reduced emissions and measures to promote the adoption of renewable energy sources.

Each year, negotiators build on progress made at the previous yearís COP, strengthening aspirations and commitments, and pushing for new agreements, based on the latest scientific findings on the climate, and the role of human activity in the crisis.

What comes next?Beyond the conference walls, there are many positive signs that the clean energy transition is gathering pace, and already paying huge dividends, in terms of the creation of jobs and boosting the economies that are embracing it.

Renewables are entering the energy system at an unprecedented rate, and electricity from new wind and solar power is now cheaper in most places than electricity from fossil fuels.

A future powered by renewable energy is now inevitable. Those who take decisive action and invest in clean technologies today are expected to reap the biggest rewards in the years to come.

Even before the end of COP29, delegates will be ironing out the details of their improved national climate plans, which amongst other targets will focus on transitioning away from fossil fuels, and keeping the world on track to a no more than 1.5 degree increase in global temperatures.",Global,https://news.un.org/en/story/2024/11/1156691,#VALUE!
11/11/2024,COP29 Azerbaijan: Whatís at stake at the 2024 global climate summit?,"The UN annual climate summit is now under way in Azerbaijanís capital Baku, with thousands of representatives from the world converging in the South Caucasus nation for two weeks of negotiations over how to tackle the climate crisis.

But the global summit has been overshadowed by the re-election of Donald Trump as United States president, who has expressed his intention to walk out of the landmark Paris Agreement for the second time. He is also likely to reduce the USís carbon-cutting commitments critical in the transition to net zero. Countries have also failed to agree on how to fund the transition towards green energy and climate change mitigation programmes around the world.

Here is what you need to know:

When and where is the COP29 being held?
COP29 will take place in Azerbaijanís capital city, Baku, between November 11-22.

The decision to host the summit in a country whose economy is based on fossil fuels has been criticised by climate activists, including Greta Thunberg, who labelled the event a ìgreenwash conferenceî during a recent lecture.

What does COP stand for?
COP is an abbreviation for the Conference of the Parties to the Convention, which refers to the United Nations Framework Convention on Climate Change (UNFCCC) ñ a multilateral treaty adopted in 1992.

The UNFCCC, which entered into force in 1994, has become a basis for landmark agreements such as the Kyoto Protocol (1997) and the Paris Climate Agreement (2015), which aims to limit global temperature rise to 2 degrees Celsius above pre-industrial levels by 2100.


The first COP summit was held in the German capital Berlin in 1995.

COP29
Pedestrians walk in front of the venue for the COP29 Summit in Baku on November 10, 2024, on the eve of the UN Climate Change Conference [Alexander Nemenov/AFP]
Who will participate?
More than 32,000 people have registered to attend the COP29 this year.

These will include representatives from all 198 countries that have ratified the convention.

It will also mark the first time the Taliban will attend a UN climate conference since their takeover of Afghanistan in 2021.

Diplomats, journalists, climate scientists, NGOs, activists, and Indigenous leaders will also attend.

The Biden administration will send a delegation with officials from more than 20 US departments, agencies, and organisations led by senior adviser to the president for international climate policy, John Podesta.

The delegation will participate in the talks but will be unable to make any clear financial commitments as Trump is set to take office in January.

An activist demonstrates for climate justice and a ceasefire for Gaza
An activist demonstrates for climate justice and a ceasefire in Gaza at the UN Climate Summit on November 11, 2024 in Baku [Rafiq Maqbool/AP Photo]
Whatís on the agenda this year?
COP29 has been labelled the ìfinance COPî because it seeks to increase funding to support lower-income countries in reducing greenhouse gas emissions.

A UN-backed report has stated that emerging countries, excluding China, need investments well beyond $2 trillion annually by 2030 if the world is to halt global warming.

Who should foot that bill has caused divisions before.

An analysis commissioned by the UK and Egypt found that a trillion dollars should come from rich countries, investors, and multilateral development banks.

The report added the remainder ñ about $1.4 trillion ñ must originate domestically from private and public sources.

In 2009, richer nations pledged to provide $100bn annually in climate financing for developing countries by 2020, which they achieved two years late.

The worldís poorer nations are now calling for a new goal of at least $1 trillion per year.

Current donors are urging nations such as China ñ the worldís largest annual emitter of greenhouse gases ñ and the UAE ñ a major fossil fuel producer ñ which are still classified as developing to contribute to the fund.

Agreements on the Nationally Determined Contributions (NDCs) from all participating countries will be high on the agenda.

An NDC is a countryís national climate action plan that sets out its targets for reducing greenhouse gas emissions in line with the goals set in the Paris Agreement.


NDCs must be updated every five years, and with the next round due in early 2025, this yearís summit presents the perfect opportunity to finalise each memberís goals.

What progress has been made since last yearís summit?
The headline agreement that came out of the COP28 in Dubai, UAE was to ìtransition away from fossil fuelsî as part of the global stocktake.

It was an important milestone as it was the first-ever COP text to openly call on countries to wean themselves off fossil fuels.

At this stage, it is hard to tell whether there has been significant progress, as the target for energy-related emissions to reach net zero was set for 2050. Two goals, including tripling global renewable energy capacity and doubling global energy efficiency improvements, were set for 2030.

In April, the International Energy Agency (IEA) set up a tracker to measure the goals set at COP28.

Head of Strategy, Energy Transition of the Office of the UAE Special Envoy for Climate Change, Abdulla Malek addresses the panellists at the opening ceremony for Energy Day during the United Nations Climate Change Conference COP28 in Dubai, United Arab Emirates December 5, 2023
Head of strategy, energy transition of the Office of the UAE Special Envoy for Climate Change, Abdulla Malek, speaks during the COP28 in Dubai, UAE, December 5, 2023 [File: Thomas Mukoya/Reuters]
Why is the central pledge made at COP28 not part of the agenda this year?
There has been no official reason stated.

However, focusing on fossil fuels may have been difficult because oil and gas make up roughly half of Azerbaijanís economy and account for 90 percent of its exports.

An advocacy group also secretly recorded Elnur Soltanov, Azerbaijanís deputy energy minister and CEO of COP29, offering to facilitate talks about new fossil fuel deals before the summit.

How will Trumpís election affect the summit agenda?
Donald Trumpís recent election as US president will not directly alter this yearís summit agenda, but it could affect the implementation of any agreements when he is inaugurated in January 2025.

Trump pulled the US from the Paris Agreement, fulfilling his promise to withdraw from the global pact. His successor, President Joe Biden, signed the US back into the agreement in 2021.

As the worldís second-largest emitter of greenhouse gases after China, a US withdrawal from the pact would have huge consequences for any targets agreed upon at COP29.

Last year, the US produced an average of 12.9 million barrels of crude oil per day, breaking a previous global record in 2019.

Trump has also regularly questioned whether climate change is real and downplayed its effects.

How did climate change affect the world in 2024?
The EUís Copernicus Climate Change Service has stated that its scientists are ìvirtually certainî that 2024 will be the warmest year on record.

The year was also marked by extreme weather events, with scientists linking storms such as Hurricane Milton, which swept across Florida and killed at least 18 people, to climate change.

INTERACTIVE_AFRICA_CO2_EMISSIONS_SEP5_2024-1725541929
(Al Jazeera)
",,https://www.aljazeera.com/news/2024/11/11/cop29-in-azerbaijan-whats-at-stake-at-the-2024-global-climate-summit,
7/17/2024,What's new in Paris Olympics 2024?,"The 2024 Olympics in Paris is set to be the largest event ever organised in France and is scheduled to be held from July 26 to August 11.Millions of spectators will attend in person, filling 35 venues in and around Paris, while 10,500 athletes from over 200 National Olympic Committees (NOCs) and the IOC Refugee Olympic Team will compete in 329 events over 19 days.

",Global,https://www.thehindu.com/sport/olympics/whats-new-in-paris-olympics-2024/article68409260.ece,
7/18/2024,"Paris Olympics 2024: Event facts ñ surfing, breaking, mascots, Eiffel Tower","The 2024 Olympic Games will begin on July 26 in Paris, France as 10,500 athletes will compete to get their hands on coveted sports medals.Surfing in a land far away
While Paris is the main host city, events will be held in 16 other cities across metropolitan France.

The surfing competition, however, will be the most unique ñ taking place in the French territory of Tahiti, on the Pacific Oceanís legendary Teahupoío waves.

Located 15,000km (9,320 miles) away from Paris, the surfing venue will break the record for the furthest medal competition staged outside a host Olympic city.

But the competitors will gladly fly halfway across the world to get barreled in one of the planetís most spectacular surf breaks.

Surfers gets barreled in wave.
The worldís all-time best surfer takes on the worldís best surf break. Eleven-time ASP World Champion Kelly Slaters gets barreled on May 30, 2024, at Teahupoío, the venue for the Paris 2024 Olympics surf competition in French Polynesia [Sean M. Haffey/Getty Images]
Breaking: the new Olympic sport
The Paris Games will feature a new Olympic sport: breaking, an urban dance style that has its roots in hip-hop culture.

The competition will feature two events ñ one for men and one for women ñ and will be held August 9-10 in Paris following its success at the Summer Youth Olympic Games in Buenos Aires in 2018.

Breaking competitor during tournament.
Breaking is the only sport making its Olympics debut at Paris 2024 [David Balogh/Getty Images]
The Eiffel Tower will be part of the Olympics
The iconic Eiffel Tower will be part of the Olympics in more ways than one.While the beach volleyball event will be held in a temporary outdoor arena under the tower, athletes will also carry a piece of the monument home as the Olympic medals will be adorned with original iron metal from the Eiffel Tower.

Volleyball court being built in front of Eiffel Tower.
Builders put the final touches to the temporary Olympics 2024 beach volleyball venue, situated in front of the Eiffel Tower in Paris, France [Benoit Tessier/Reuters]
Parisians are on the run
For the first time in history, the public can have a first-hand Olympic experience, being allowed to run the same course of the Olympic marathon on the same day as the Olympians.

The mass participation event will feature 35,000 amateur runners.

Swimming in the Seine
The River Seine will host the marathon swimming event and the swimming leg of the triathlon at the Olympics, a century after it held some events during the first Paris Games in 1900.

From 1923 until recently, swimming had been banned in the Seine due to water-quality issues, and for decades, the river was too toxic for most fish. Paris organisers have repeatedly assured the competitors that the water will be clean enough to swim during the Olympics.

Swimmers in River seine in France.
Athletes swim in the River Seine in front of the Eiffel Tower during the Womenís World Triathlon event on August 17, 2023 in Paris, France [Aurelien Meunier/Getty Images]
Meet the mascots
The Phryges are the official mascots of the Paris 2024 Olympic and Paralympic Games. They are based on the traditional small Phrygian hats, a symbol of France.

Olympic organisers say the name and design were chosen as symbols of freedom and to represent allegorical figures of the French Republic.

French mascots for Olympics.
The Phryges will be the official mascots at Paris 2024 [Denis Balibouse/Reuters]
100th anniversary
The 2024 Games will mark the return of the Olympics to Paris after 100 years. Paris first hosted the Olympics in 1900 and then in 1924.

The French capital will become the second city to host the Olympics three times, after London (1908, 1948, and 2012).

Full gender parity
Paris 2024 will be the first Olympics in history to achieve numerical gender parity on the field of play, with an equal number of female and male athletes participating in the largest sporting event in the world.

Out of the 10,500 athletes participating in the Games, 5,250 will be men and 5,250 women.

Lost in translation? Not on the Paris Metro
Parisís public transport system (RATP) has provided more than 3,000 agents with AI-supported translation devices to help hundreds of thousands of tourists navigate routes during the Olympics.The device can translate between French and 16 different languages.

Man runs past Paris Metro station.
Organisers are pulling out all the stops to help tourists navigate the Paris Metro during the Olympics [Benoit Tessier/Reuters]
Turn off the AC
There will be no air conditioning in the athletesí rooms at Paris 2024, which has pledged to host the ìgreenest everî Games.

Instead, buildings in the athletesí village have been designed with a cooling system drawing water from underground, and facades adjusted so they get little direct sun.",Global,https://www.aljazeera.com/news/2024/7/18/paris-olympics-2024-fast-facts-surfing-breaking-mascots-eiffel-tower,
10/28/2024,U.S. Presidential elections 2024: Key dates and events to note,"With only a few weeks to go before the U.S. elections, American voters are set to elect their representative between Vice President Kamala Harris and former President Donald Trump on November 5.",USA,https://www.thehindu.com/news/international/us-elections/us-presidential-elections-2024-key-dates/article68760025.ece,
3 min read Last Updated : Sep 16 2024 | 11:50 PM IST,"Global AI Summit Calls for Global Action to Guarantee AI Innovation is for the ""Good of Humanity""","NewsVoir
New Delhi [India], September 16: The Global AI Summit (GAIN) in Riyadh concluded on a high after the summit welcomed more than 30,000 delegates from across the globe over three days. The live stream of the summit received 3.7m views.
Building on the success of previous editions, GAIN 2024 featured more than 450 speakers from 100 countries, participating in 150 sessions. It also witnessed over 25 launches and announcements and facilitated the signing of over 80 agreements and Memoranda of Understanding (MoUs).
The summit, organized by the Saudi Data and AI Authority (SDAIA), has grown exponentially since its inception in 2020. Its growing prominence reflects the Kingdom of Saudi Arabia's role in advancing AI capabilities as it positions itself as a global leader in this space.The key output from the summit was the need for governments and policymakers to take global action to ensure that AI technology evolves for the good of humanity. Central to responsible evolution is an ethical framework and robust governance.
To support the advancement of AI ethics and governance, SDAIA announced the Riyadh Charter of Artificial Intelligence for the Islamic World in collaboration with the Islamic World Educational, Scientific, and Cultural Organization (ICESCO). This promotes ethical AI grounded in Islamic values and principles, as well as sustainable development through international cooperation.
SDAIA has played a pivotal role in forging key collaborations to strengthen local and regional AI solutions, signing MoUs with Microsoft Arabia to develop Arabic language models, IBM for a Center of Excellence in Generative AI technologies, and NVIDIA to scale AI infrastructure across the Kingdom.

The summit also marked several major milestones. Alongside the unveiling of ALLaM, the world's most advanced Arabic Language Model, other diverse initiatives such as the Global AI Community, the THAKAI Platform, and guidelines for addressing deepfake technology.
Furthermore, the launch of the Generative AI Center of Excellence by the Digital Cooperation Organization (DCO), the agreement to open an International Center for AI Research and Ethics (ICAIRE) as a UNESCO Category 2 Center, further underscored the impact of GAIN 2024.
The summit itself provided the platform for companies from all over the world to showcase the latest AI technologies and innovations, including AI generated avatars, AI generated artwork, and even Robotic bar staff serving beverages.

The summit closed with an inspirational speech from the Director of Saudi Arabia's National Information Center, Dr Esam Alwagait, in which he thanked participants, ""Your candid perspectives have not only inspired us with the vision of what lies ahead, but have also grounded us in the realities we must face. Together, we have not only imagined the future of AI, but have also made it real by addressing the challenges and identifying the enablers needed to truly unlock its potential.""
He added, ""It has been incredibly inspiring to see the world come together here in Riyadh, united by momentum to make AI work for everyone. The commitment to collaborative action has been evident throughout the summit.""
The success of GAIN 2024 ensures that the Kingdom's AI infrastructure will be significantly strengthened and has cemented Saudi Arabia position at the center of global AI.
",Global,https://www.business-standard.com/content/press-releases-ani/global-ai-summit-calls-for-global-action-to-guarantee-ai-innovation-is-for-the-good-of-humanity-124091600690_1.html,
